b_child_vacc,b_discuss_with_child,b_pap,b_ovx,b_vacc_new,b_vac_danger,b_child_sex,b_exposure,b_men_need,b_sex_vacc_effect,b_antibody,b_vacc_risky_sex,b_serious,b_vacc_cancer_prevent,b_discuss_school,b_will_vacc_child,d_time,b_pap_1,b_child_vacc_1,b_discuss_with_child_1,b_ovx_1,b_vacc_new_1,b_vac_danger_1,b_child_sex_1,b_men_need_1,b_sex_vacc_effect_1,b_antibody_1,b_vacc_risky_sex_1,b_serious_1,b_vacc_cancer_prevent_1,b_discuss_school_1,b_will_vacc_child_1,b_finalscore
Yes I believe this is true.,Yes I believe this is true.,Agree,I am not sure.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,3/30/2023 17:09:32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/02/2023 0:49,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/02/2023 0:54,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4
I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/02/2023 1:07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
I am not sure.,I dont have children and I am not planning to have children.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 12:00,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,8
Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 19:40,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,6
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 19:49,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,11
Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 21:44,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,13
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/04/2023 22:48,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,13
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 1:09,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,13
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 1:25,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,12
Yes I believe this is true.,I dont have children and I am not planning to have children.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 8:32,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,6
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 9:13,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,13
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 9:14,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,14
Yes I believe this is true.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 11:07,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,6
No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,04/05/2023 11:13,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,7
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 11:22,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,10
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 11:45,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,11
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 11:53,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,5
Yes I believe this is true.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,04/05/2023 12:21,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,11
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/05/2023 12:23,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,8
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 12:26,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,9
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 12:37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
Yes I believe this is true.,I dont have children and I am not planning to have children.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,I am not sure.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 12:45,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,8
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 12:53,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,11
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 14:04,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,8
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 14:36,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13
I am not sure.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,04/05/2023 15:49,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,7
Yes I believe this is true.,I dont have children and I am not planning to have children.,Yes I believe this is true.,I am not sure.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 15:54,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,9
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,Yes I believe this is true.,04/05/2023 16:42,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,9
Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,04/05/2023 21:10,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,6
Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/05/2023 22:55,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,12
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,04/06/2023 1:09,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,8
Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/06/2023 11:43,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,7
Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,04/06/2023 12:48,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,8
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/06/2023 18:10,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,7
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/06/2023 19:23,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,13
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/06/2023 22:55,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,11
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,04/07/2023 5:41,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,10
Yes I believe this is true.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/09/2023 23:28,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,8
Yes I believe this is true.,Yes I believe this is true.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,Yes I believe this is true.,04/09/2023 23:29,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,7
Yes I believe this is true.,I dont have children and I am not planning to have children.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,04/11/2023 0:08,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,7
No I believe this is wrong.,I dont have children and I am not planning to have children.,No I believe this is wrong.,No I believe this is a wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,04/11/2023 0:13,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,6
Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/11/2023 14:20,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,9
I am not sure.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is a wrong.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,Yes I believe this is true.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/11/2023 21:23,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,12
I am not sure.,Yes I believe this is true.,No I believe this is wrong.,Yes I believe this is true.,I am not sure.,Yes I believe this is true.,I am not sure.,I am not sure.,No I believe this is wrong.,No I believe this is wrong.,I am not sure.,No I believe this is wrong.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,Yes I believe this is true.,04/12/2023 11:56,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,9
I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,No I believe this is wrong.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,Yes I believe this is true.,I am not sure.,04/12/2023 22:22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,I am not sure.,04/12/2023 23:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
